Eval step 1090000 | train loss 0.5607 | val loss 0.6763 | BLUE: 0.0000
Eval step 1100000 | train loss 0.5719 | val loss 0.6758 | BLUE: 0.0000
Eval step 1110000 | train loss 0.5659 | val loss 0.6777 | BLUE: 0.0000
Eval step 1120000 | train loss 0.5674 | val loss 0.6753 | BLUE: 0.0000
Eval step 1130000 | train loss 0.5639 | val loss 0.6783 | BLUE: 0.0000
Eval step 1140000 | train loss 0.5580 | val loss 0.6717 | BLUE: 0.0000
Eval step 1150000 | train loss 0.5726 | val loss 0.6726 | BLUE: 0.0000
Eval step 1160000 | train loss 0.5589 | val loss 0.6702 | BLUE: 0.0000
Eval step 1170000 | train loss 0.5503 | val loss 0.6721 | BLUE: 0.0000
Eval step 1180000 | train loss 0.5592 | val loss 0.6655 | BLUE: 0.0000
Eval step 1190000 | train loss 0.5503 | val loss 0.6696 | BLUE: 0.0000
Eval step 1200000 | train loss 0.5622 | val loss 0.6650 | BLUE: 0.0000
Eval step 1210000 | train loss 0.5590 | val loss 0.6704 | BLUE: 0.0000
Eval step 1220000 | train loss 0.5459 | val loss 0.6651 | BLUE: 0.0000
Eval step 1230000 | train loss 0.5580 | val loss 0.6664 | BLUE: 0.0000
Eval step 1240000 | train loss 0.5550 | val loss 0.6698 | BLUE: 0.0000
Eval step 1250000 | train loss 0.5342 | val loss 0.6658 | BLUE: 0.0000
Eval step 1260000 | train loss 0.5475 | val loss 0.6627 | BLUE: 0.0000
Eval step 1270000 | train loss 0.5359 | val loss 0.6691 | BLUE: 0.0000
Eval step 1280000 | train loss 0.5526 | val loss 0.6619 | BLUE: 0.0000
Eval step 1290000 | train loss 0.5416 | val loss 0.6624 | BLUE: 0.0000
Eval step 1300000 | train loss 0.5300 | val loss 0.6642 | BLUE: 0.0000
Eval step 1310000 | train loss 0.5447 | val loss 0.6614 | BLUE: 0.0000
Eval step 1320000 | train loss 0.5376 | val loss 0.6624 | BLUE: 0.0000
Eval step 1330000 | train loss 0.5490 | val loss 0.6608 | BLUE: 0.0000
Eval step 1340000 | train loss 0.5383 | val loss 0.6603 | BLUE: 0.0000
Eval step 1350000 | train loss 0.5287 | val loss 0.6654 | BLUE: 0.0000
Eval step 1360000 | train loss 0.5372 | val loss 0.6553 | BLUE: 0.0000
Eval step 1370000 | train loss 0.5341 | val loss 0.6582 | BLUE: 0.0000
Eval step 1380000 | train loss 0.5103 | val loss 0.6556 | BLUE: 0.0000
Eval step 1390000 | train loss 0.5308 | val loss 0.6546 | BLUE: 0.0000
Eval step 1400000 | train loss 0.5195 | val loss 0.6564 | BLUE: 0.0000
Eval step 1410000 | train loss 0.5374 | val loss 0.6570 | BLUE: 0.0000
Eval step 1420000 | train loss 0.5260 | val loss 0.6563 | BLUE: 0.0000
Eval step 1430000 | train loss 0.5041 | val loss 0.6560 | BLUE: 0.0000
Eval step 1440000 | train loss 0.5260 | val loss 0.6545 | BLUE: 0.0000
Eval step 1450000 | train loss 0.5249 | val loss 0.6574 | BLUE: 0.0000
Eval step 1460000 | train loss 0.5262 | val loss 0.6539 | BLUE: 0.0000
Eval step 1470000 | train loss 0.5249 | val loss 0.6553 | BLUE: 0.0000
Eval step 1480000 | train loss 0.5116 | val loss 0.6565 | BLUE: 0.0000
Eval step 1490000 | train loss 0.5239 | val loss 0.6536 | BLUE: 0.0000
Eval step 1500000 | train loss 0.5139 | val loss 0.6511 | BLUE: 0.0000
Eval step 1510000 | train loss 0.4926 | val loss 0.6501 | BLUE: 0.0000
Eval step 1520000 | train loss 0.5183 | val loss 0.6484 | BLUE: 0.0000
Eval step 1530000 | train loss 0.5056 | val loss 0.6444 | BLUE: 0.0000
Eval step 1540000 | train loss 0.5159 | val loss 0.6358 | BLUE: 0.0000
Eval step 1550000 | train loss 0.5054 | val loss 0.6390 | BLUE: 0.0000
Eval step 1560000 | train loss 0.4867 | val loss 0.6365 | BLUE: 0.0000
Eval step 1570000 | train loss 0.5056 | val loss 0.6349 | BLUE: 0.0000
Eval step 1580000 | train loss 0.4966 | val loss 0.6311 | BLUE: 0.0000
Eval step 1590000 | train loss 0.4983 | val loss 0.6295 | BLUE: 0.0000
Eval step 1600000 | train loss 0.4883 | val loss 0.6276 | BLUE: 0.0000
Eval step 1610000 | train loss 0.4790 | val loss 0.6313 | BLUE: 0.0000
Eval step 1620000 | train loss 0.4908 | val loss 0.6261 | BLUE: 0.0000
Eval step 1630000 | train loss 0.4782 | val loss 0.6271 | BLUE: 0.0000
Eval step 1640000 | train loss 0.4664 | val loss 0.6222 | BLUE: 0.0000
Eval step 1650000 | train loss 0.4817 | val loss 0.6231 | BLUE: 0.0000
Eval step 1660000 | train loss 0.4703 | val loss 0.6252 | BLUE: 0.0000
Eval step 1670000 | train loss 0.4744 | val loss 0.6209 | BLUE: 0.0000
Eval step 1680000 | train loss 0.4728 | val loss 0.6244 | BLUE: 0.0000
Eval step 1690000 | train loss 0.4612 | val loss 0.6204 | BLUE: 0.0000
Eval step 1700000 | train loss 0.4706 | val loss 0.6193 | BLUE: 0.0000
Eval step 1710000 | train loss 0.4607 | val loss 0.6171 | BLUE: 0.0000
Eval step 1720000 | train loss 0.4703 | val loss 0.6188 | BLUE: 0.0000
Eval step 1730000 | train loss 0.4643 | val loss 0.6199 | BLUE: 0.0000
Eval step 1740000 | train loss 0.4570 | val loss 0.6215 | BLUE: 0.0000
Eval step 1750000 | train loss 0.4641 | val loss 0.6187 | BLUE: 0.0000
Eval step 1760000 | train loss 0.4550 | val loss 0.6196 | BLUE: 0.0000
Eval step 1770000 | train loss 0.4328 | val loss 0.6182 | BLUE: 0.0000
Eval step 1780000 | train loss 0.4589 | val loss 0.6165 | BLUE: 0.0000
Eval step 1790000 | train loss 0.4541 | val loss 0.6249 | BLUE: 0.0000
Eval step 1800000 | train loss 0.4524 | val loss 0.6214 | BLUE: 0.0000
Eval step 1810000 | train loss 0.4470 | val loss 0.6218 | BLUE: 0.0000
Eval step 1820000 | train loss 0.4355 | val loss 0.6191 | BLUE: 0.0000
Eval step 1830000 | train loss 0.4440 | val loss 0.6174 | BLUE: 0.0000
Eval step 1840000 | train loss 0.4425 | val loss 0.6208 | BLUE: 0.0000
Eval step 1850000 | train loss 0.4497 | val loss 0.6172 | BLUE: 0.0000
Eval step 1860000 | train loss 0.4406 | val loss 0.6197 | BLUE: 0.0000
Eval step 1870000 | train loss 0.4254 | val loss 0.6213 | BLUE: 0.0000
Eval step 1880000 | train loss 0.4393 | val loss 0.6210 | BLUE: 0.0000
Eval step 1890000 | train loss 0.4301 | val loss 0.6225 | BLUE: 0.0000
Eval step 1900000 | train loss 0.4168 | val loss 0.6224 | BLUE: 0.0000
Eval step 1910000 | train loss 0.4310 | val loss 0.6245 | BLUE: 0.0000
Eval step 1920000 | train loss 0.4216 | val loss 0.6196 | BLUE: 0.0000
Eval step 1930000 | train loss 0.4339 | val loss 0.6160 | BLUE: 0.0000
