Step  315 | norm: 0.4759 | lr: 0.000015 | loss: 2.4900 | Data dt:  7.89 | Forward dt: 76.25 | Backward dt: 155.20
Step  320 | norm: 0.4637 | lr: 0.000015 | loss: 2.4497 | Data dt:  8.23 | Forward dt: 76.34 | Backward dt: 155.59
Step  325 | norm: 0.4448 | lr: 0.000016 | loss: 2.4894 | Data dt:  8.03 | Forward dt: 76.00 | Backward dt: 155.67
Step  330 | norm: 0.4341 | lr: 0.000016 | loss: 2.4662 | Data dt:  8.26 | Forward dt: 75.96 | Backward dt: 155.64
Step  335 | norm: 0.5956 | lr: 0.000016 | loss: 2.4824 | Data dt:  8.08 | Forward dt: 76.14 | Backward dt: 155.11
Step  340 | norm: 0.6188 | lr: 0.000016 | loss: 2.4619 | Data dt:  8.39 | Forward dt: 76.01 | Backward dt: 154.98
Step  345 | norm: 0.4860 | lr: 0.000017 | loss: 2.4703 | Data dt:  8.41 | Forward dt: 76.14 | Backward dt: 155.49
Step  350 | norm: 0.4493 | lr: 0.000017 | loss: 2.4800 | Data dt:  8.47 | Forward dt: 76.36 | Backward dt: 156.15
Step  355 | norm: 0.4665 | lr: 0.000017 | loss: 2.4562 | Data dt:  8.59 | Forward dt: 76.41 | Backward dt: 155.89
Step  360 | norm: 0.4966 | lr: 0.000017 | loss: 2.4298 | Data dt:  8.50 | Forward dt: 76.19 | Backward dt: 155.53
Step  365 | norm: 0.4968 | lr: 0.000018 | loss: 2.4280 | Data dt:  8.43 | Forward dt: 75.94 | Backward dt: 154.56
Step  370 | norm: 0.5822 | lr: 0.000018 | loss: 2.4301 | Data dt:  8.32 | Forward dt: 76.11 | Backward dt: 155.03
Step  375 | norm: 0.7049 | lr: 0.000018 | loss: 2.4717 | Data dt:  8.19 | Forward dt: 76.12 | Backward dt: 155.65
Step  380 | norm: 0.7166 | lr: 0.000018 | loss: 2.4407 | Data dt:  8.42 | Forward dt: 76.47 | Backward dt: 156.16
Step  385 | norm: 0.7569 | lr: 0.000019 | loss: 2.4360 | Data dt:  8.06 | Forward dt: 76.23 | Backward dt: 155.92
Step  390 | norm: 0.5903 | lr: 0.000019 | loss: 2.4480 | Data dt:  8.52 | Forward dt: 75.68 | Backward dt: 154.23
Step  395 | norm: 0.6994 | lr: 0.000019 | loss: 2.4181 | Data dt:  8.13 | Forward dt: 76.07 | Backward dt: 155.27
Step  400 | norm: 0.5409 | lr: 0.000019 | loss: 2.4471 | Data dt:  8.57 | Forward dt: 75.87 | Backward dt: 154.87
Step  405 | norm: 0.6688 | lr: 0.000019 | loss: 2.4553 | Data dt:  8.90 | Forward dt: 75.99 | Backward dt: 154.95
Step  410 | norm: 0.5243 | lr: 0.000020 | loss: 2.4016 | Data dt:  8.41 | Forward dt: 76.13 | Backward dt: 154.99
Step  415 | norm: 0.6431 | lr: 0.000020 | loss: 2.4301 | Data dt:  7.98 | Forward dt: 75.86 | Backward dt: 154.53
Step  420 | norm: 0.8056 | lr: 0.000020 | loss: 2.4076 | Data dt:  8.39 | Forward dt: 76.32 | Backward dt: 155.80
Step  425 | norm: 0.6771 | lr: 0.000020 | loss: 2.4114 | Data dt:  7.92 | Forward dt: 75.88 | Backward dt: 154.74
Step  430 | norm: 0.7896 | lr: 0.000021 | loss: 2.4388 | Data dt:  8.23 | Forward dt: 75.81 | Backward dt: 154.43
Step  435 | norm: 0.9754 | lr: 0.000021 | loss: 2.4255 | Data dt:  8.42 | Forward dt: 75.79 | Backward dt: 154.64
Step  440 | norm: 1.0853 | lr: 0.000021 | loss: 2.4256 | Data dt:  8.54 | Forward dt: 75.86 | Backward dt: 155.87
Step  445 | norm: 0.8845 | lr: 0.000021 | loss: 2.4156 | Data dt:  8.08 | Forward dt: 76.25 | Backward dt: 156.90
Step  450 | norm: 0.5124 | lr: 0.000022 | loss: 2.3849 | Data dt:  8.27 | Forward dt: 76.10 | Backward dt: 155.60
Step  455 | norm: 0.7711 | lr: 0.000022 | loss: 2.4009 | Data dt:  8.09 | Forward dt: 75.84 | Backward dt: 154.80
Step  460 | norm: 0.7805 | lr: 0.000022 | loss: 2.3986 | Data dt:  8.88 | Forward dt: 75.93 | Backward dt: 154.80
Step  465 | norm: 0.6239 | lr: 0.000022 | loss: 2.3785 | Data dt:  7.97 | Forward dt: 75.83 | Backward dt: 154.95
Step  470 | norm: 0.6602 | lr: 0.000023 | loss: 2.4083 | Data dt:  8.58 | Forward dt: 75.88 | Backward dt: 153.82
Step  475 | norm: 0.5664 | lr: 0.000023 | loss: 2.3724 | Data dt:  8.06 | Forward dt: 76.20 | Backward dt: 155.35
Step  480 | norm: 0.6025 | lr: 0.000023 | loss: 2.4000 | Data dt:  9.43 | Forward dt: 76.13 | Backward dt: 155.59
Step  485 | norm: 0.4539 | lr: 0.000023 | loss: 2.3899 | Data dt:  8.27 | Forward dt: 75.99 | Backward dt: 154.92
Step  490 | norm: 0.5218 | lr: 0.000024 | loss: 2.3915 | Data dt:  8.45 | Forward dt: 76.16 | Backward dt: 155.23
Step  495 | norm: 0.6370 | lr: 0.000024 | loss: 2.3645 | Data dt:  8.08 | Forward dt: 75.95 | Backward dt: 154.76
Step  500 | norm: 0.8101 | lr: 0.000024 | loss: 2.3784 | Data dt: 11898.65 | Forward dt: 75.12 | Backward dt: 153.58
Step  505 | norm: 0.7720 | lr: 0.000024 | loss: 2.3606 | Data dt:  8.58 | Forward dt: 75.76 | Backward dt: 154.64
Step  510 | norm: 1.0865 | lr: 0.000025 | loss: 2.3674 | Data dt:  8.28 | Forward dt: 76.22 | Backward dt: 155.28
Step  515 | norm: 0.5240 | lr: 0.000025 | loss: 2.3976 | Data dt:  8.57 | Forward dt: 76.24 | Backward dt: 154.74
Step  520 | norm: 0.4518 | lr: 0.000025 | loss: 2.3795 | Data dt:  8.44 | Forward dt: 76.36 | Backward dt: 155.59
Step  525 | norm: 0.4673 | lr: 0.000025 | loss: 2.3488 | Data dt:  8.58 | Forward dt: 75.99 | Backward dt: 155.27
Step  530 | norm: 0.5737 | lr: 0.000025 | loss: 2.3311 | Data dt:  8.32 | Forward dt: 76.33 | Backward dt: 155.62
Step  535 | norm: 0.7167 | lr: 0.000026 | loss: 2.3542 | Data dt:  8.28 | Forward dt: 76.19 | Backward dt: 155.02
Step  540 | norm: 0.6410 | lr: 0.000026 | loss: 2.3632 | Data dt:  8.29 | Forward dt: 76.23 | Backward dt: 155.13
Step  545 | norm: 0.7221 | lr: 0.000026 | loss: 2.3483 | Data dt:  8.36 | Forward dt: 76.35 | Backward dt: 155.45
Step  550 | norm: 0.9614 | lr: 0.000026 | loss: 2.3558 | Data dt:  8.47 | Forward dt: 75.94 | Backward dt: 154.86
Step  555 | norm: 0.7370 | lr: 0.000027 | loss: 2.3254 | Data dt:  8.31 | Forward dt: 76.21 | Backward dt: 155.04
Step  560 | norm: 1.0853 | lr: 0.000027 | loss: 2.3555 | Data dt:  8.34 | Forward dt: 76.22 | Backward dt: 155.28
Step  565 | norm: 0.5445 | lr: 0.000027 | loss: 2.3524 | Data dt:  8.34 | Forward dt: 76.30 | Backward dt: 155.01
